,GENRE,authorKorean,authorEnglish,workTitle,translator,sourceTitle,publisher,yearCreated,authorEnglish2
35,Fiction,강태식,Kang Tae-shik, , ,"Good-Bye, Zoo",Sample translation available at DLKL*,2012.0,Kang Tae shik/Kang Tae-shik
36,Fiction,강화길,Kang Hwagil, ,Mattho Mandersloot,Demons,Strangers Press,2019.0,Kang Hwagil
37,Fiction,강화길,Kang Hwa-gil,Seo-U, ,"Storytelling Asia, V.13 P.240",Asia Publishing Co,2018.0,Kang Hwa gil/Kang Hwa-gil
38,Fiction,계용묵,Kye Yong-muk, ,Eugene Larsen-Hallock,Counting Stars,Literature Translation Institute of Korea*,2014.0,Kye Yong muk/Kye Yong-muk
39,Fiction,계용묵,Kye Yong-muk, ,Eugene Larsen-Hallock,Like A Chicken On A Folding Screen,Literature Translation Institute of Korea*,2014.0,Kye Yong muk/Kye Yong-muk
40,Fiction,계용묵,Kye Yong-muk, ,Eugene Larsen-Hallock,The Human Arachnid,Literature Translation Institute of Korea*,2014.0,Kye Yong muk/Kye Yong-muk
41,Fiction,계용묵,Kye Yong-muk,Adada The Idiot,Morgan E. Clippinger,The Unenlightened And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers/Pace International Research, Inc.",1983.0,Kye Yong muk/Kye Yong-muk
42,Fiction,계용묵,Kye Yong-muk,"Adada, The Idiot",Hong Myoung-Hee,Korean Short Stories,Il Ji Sa,1975.0,Kye Yong muk/Kye Yong-muk
43,Fiction,고병삼,Ko Byong Sam,Unfinished Sculpture, ,Korean Short Stories: A Collection From North Korea,Fredonia Books,2003.0,Ko Byong Sam
44,Fiction,고은,Ko Un, ,Brother Anthony Of Taize,Little Pilgrim,Parallax Press,2005.0,Ko Un
45,Fiction,공선옥,Gong Sun-ok, ,Hee Young Kim,Merrily Through The Night,Literature Translation Institute of Korea*,2009.0,Gong Sun ok/Gong Sun-ok
46,Fiction,공선옥,Gong Sun-ok, ,Jeon Seung-Hee,People I Left In Shanghai: Volume 47,Asia publishers,2014.0,Gong Sun ok/Gong Sun-ok
47,Fiction,공선옥,Gong Sun-ok,People I Left In Shanghai,Jeon Seung-Hee,"Storytelling Asia, V.9 No.1",Asia Publishing Co,2014.0,Gong Sun ok/Gong Sun-ok
48,Fiction,공선옥,Kong Sŏn-ok,Single Mother,Laura Ha Reizman,"Azalea: Journal Of Korean Literature & Culture, V.12 P.73-97",University of Hawai'i Press,2019.0,Kong Son ok/Kong Son-ok/Kong Sŏn-ok
49,Fiction,공선옥,Gong Sun Ok,The Cheerful Night Road,Jane Suh,"Azalea: Journal Of Korean Literature & Culture, V.3 P.171-190",University of Hawai'i Press,2010.0,Gong Sun Ok
50,Fiction,공선옥,Kong Sŏn-ok,The Flowering Of Our Lives,"Bruce Fulton, Ju-Chan Fulton",The Future Of Silence: Fiction By Korean Women,Zephyr press,2016.0,Kong Son ok/Kong Son-ok/Kong Sŏn-ok
51,Fiction,공선옥,Kong Son-ok,The Flowering Of Our Lives,"Bruce Fulton, Ju-Chan Fulton",Wayfarer: New Fiction By Korean Women,Women in Translation,1997.0,Kong Son ok/Kong Son-ok
52,Fiction,공지영,Gong Jiyoung, ,Bruce Fulton,Human Decency : Volume 014,Asia publishers,2012.0,Gong Jiyoung
53,Fiction,공지영,Gong Ji-young, ,Park Jung-Eun,My Sister Bongsoon,Mosaic Press,2005.0,Gong Ji young/Gong Ji-young
54,Fiction,공지영,Gong Ji-young, ,Sora Kim-Russell,Our Happy Time,Atria Books/Marble Arch Press,2014.0,Gong Ji young/Gong Ji-young
55,Fiction,공지영,Gong Ji-young, ,Sora Kim-Russell,Our Happy Time,Perseus Books Group*,2014.0,Gong Ji young/Gong Ji-young
56,Fiction,공지영,Gong Ji-young, , ,Tall Blue Ladder,Sample translation available at DLKL*,2013.0,Gong Ji young/Gong Ji-young
57,Fiction,공지영,Kong Chi-yŏng,Human Decency,"Bruce Fulton, Ju-Chan Fulton",Wayfarer: New Fiction By Korean Women,Women in Translation,1997.0,Kong Chi yong/Kong Chi-yong/Kong Chi-yŏng
58,Fiction,공지영,Gong Jiyoung,The Crucible,"Bruce Fulton, Ju-Chan Fulton","Azalea: Journal Of Korean Literature & Culture, V.4 P.41-69",University of Hawai'i Press,2011.0,Gong Jiyoung
59,Fiction,공지영,Gong Jiyoung,The Key,Soohyun Chang,"Azalea: Journal Of Korean Literature & Culture, V.4 P.11-40",University of Hawai'i Press,2011.0,Gong Jiyoung
60,Fiction,공지영,Kong Jeeyoung,The Unbearable Sadness Of Being,Jin-Young Choi,Unspoken Voices,Homa & Sekey,2002.0,Kong Jeeyoung
61,Fiction,공지영,Kong Chi-yŏng,What's To Be Done? (1992),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kong Chi yong/Kong Chi-yong/Kong Chi-yŏng
62,Fiction,공지영,Kong Chi-yŏng,What's To Be Done? (1992),John Holstein,A Moment's Grace: Stories From Korean In Transition,Cornell Univ. East Asia Program,2010.0,Kong Chi yong/Kong Chi-yong/Kong Chi-yŏng
63,Fiction,구병모,Koo Byung-mo,Clever Else Melts Into Oblivion,Jamie Chang,"Azalea: Journal Of Korean Literature & Culture, V.10 P.203-220",University of Hawai'i Press,2017.0,Koo Byung mo/Koo Byung-mo
64,Fiction,구효서,Ku Hyo-seo, ,Michelle Jooeun Kim,Relics : Volume 078,Asia publishers,2014.0,Ku Hyo seo/Ku Hyo-seo
65,Fiction,권여선,Kwon Yeo-sun, ,Charles La Shure,To Believe In Love,Literature Translation Institute of Korea*,2009.0,Kwon Yeo sun/Kwon Yeo-sun
66,Fiction,권여선,Kwon Yeo-sun,Spring Night, ,"Storytelling Asia, V.8 No.4, P.190",Asia Publishing Co,2013.0,Kwon Yeo sun/Kwon Yeo-sun
67,Fiction,권이항,Kwon Yi-hang,Concerning The Forms Of Punctuation Marks Gracing Impecunious Sentences, ,"Storytelling Asia, V.12 , P.104",Asia Publishing Co,2017.0,Kwon Yi hang/Kwon Yi-hang
68,Fiction,권태웅,Kwǒn T'aeung,The Hunchback Of Seoul,Kim Chong-Un,Postwar Korean Short Stories,Seoul National University Press & The Center for Korean Studies at the University of Hawaii,1983.0,Kwon T'aeung/Kwǒn T'aeung
69,Fiction,권태웅,Kwon Tae-ung,The Hunchback Of Seoul,Kim Chong-Un,Two Travelers And Other Korean Short Stories,"Si-sa-yong-o-sa Publishers, Inc / Pace International Research",1983.0,Kwon Tae ung/Kwon Tae-ung
70,Fiction,금희,Geum hee, ,Jeon Seung-Hee,Ok-Hwa: K-Fiction Series 9,Asia publishers,2015.0,Geum hee
71,Fiction,김강,Kim Kang,Our Father, ,"Storytelling Asia, V.13 , P.156",Asia Publishing Co,2018.0,Kim Kang
72,Fiction,김경욱,Kim Kyung-uk, ,Sunok Kang,God Has No Grandchildren,Dalkey Archive Press,2015.0,Kim Kyung uk/Kim Kyung-uk
73,Fiction,김경욱,Kim Kyung-uk,Mirror And Window, ,"Azalea: Journal Of Korean Literature & Culture, V.12 P.57-59",University of Hawai'i Press,2019.0,Kim Kyung uk/Kim Kyung-uk
74,Fiction,김경욱,Kim Kyung-uk,"The Mailman, Olivia Hussey, And Robert Redford","Bruce Fulton, Ju-Chan Fulton","Azalea: Journal Of Korean Literature & Culture, V.12 P.15-27",University of Hawai'i Press,2019.0,Kim Kyung uk/Kim Kyung-uk
75,Fiction,김경욱,Kim Kyong-uk,The Queen Of Love,Ryan Yu,"Acta Koreana, V.15 No.2 P.397-413",Academia Koreana,2012.12,Kim Kyong uk/Kim Kyong-uk
76,Fiction,김경욱,Kim Kyung-uk,Young Hearts Never Grow Old,Deborah Elizabeth Ann Smith,"Azalea: Journal Of Korean Literature & Culture, V.6 P.87-110",University of Hawai'i Press,2013.0,Kim Kyung uk/Kim Kyung-uk
77,Fiction,김금희,Jin Jin-ji,Ok-Hwa, ,"Storytelling Asia, V.9 No.2 P.206",Asia Publishing Co,2014.0,Jin Jin ji/Jin Jin-ji
78,Fiction,김남일,Kim Nam-il,"Parashurama, The Axe-Wielding Rama", ,"Storytelling Asia, V.7 No.4",Asia Publishing Co,2012.0,Kim Nam il/Kim Nam-il
79,Fiction,김남일,Kim Nam-il,Shadow Daddy, ,"Storytelling Asia, V.7 No.1, P.248",Asia Publishing Co,2012.0,Kim Nam il/Kim Nam-il
80,Fiction,김남일,Kim Nam-il,Suthon And Manora, ,"Storytelling Asia, V.9 No.2",Asia Publishing Co,2014.0,Kim Nam il/Kim Nam-il
